02140,Condominium,1895,1.0,0,6,389908
02138,SingleFamily,1847,2.0,2,5,916987
02139,Triplex,1884,3.0,5,11,1693876
02138,MultiFamily2To4,1920,1.0,2,5,729125
02138,Condominium,1914,1.0,2,4,751990
02138,Triplex,1916,3.0,9,21,3895766
02140,Duplex,1894,3.0,3,9,1350849
02138,SingleFamily,1925,2.0,3,7,3827779
02140,SingleFamily,1894,3.0,4,12,2574239
02140,SingleFamily,1894,2.0,4,8,2184230
02138,SingleFamily,1956,3.0,4,10,1526700
02140,SingleFamily,1899,2.0,3,7,801245
02138,MultiFamily2To4,1927,1.0,2,10,1042112
02140,Condominium,1920,1.0,2,5,644627
02138,MultiFamily2To4,1900,1.0,2,4,674520
02139,Condominium,1987,2.5,3,5,911026
02139,Condominium,1820,2.0,3,6,917147
02139,MultiFamily2To4,1873,3.0,3,12,1266275
02139,Duplex,1854,2.0,4,10,1165475
02138,Duplex,1909,3.0,5,12,1693222
02139,SingleFamily,1854,1.0,2,12,1468715
02138,Condominium,1922,1.0,1,5,797629
02138,Condominium,1985,1.5,1,5,1666985
02141,SingleFamily,1984,2.0,3,6,958033
02138,Condominium,1880,1.0,2,7,804310
02139,Duplex,1854,2.0,6,12,1481773
02139,SingleFamily,1873,2.0,2,7,921076
02138,SingleFamily,2009,3.0,4,8,3829246
02138,SingleFamily,1948,1.0,3,6,716181
02139,MultiFamily2To4,1903,3.0,7,18,1927070
02140,Condominium,1988,2.0,3,5,756913
02139,Duplex,1854,2.0,6,12,1481773
02138,Condominium,1900,1.0,2,6,705562
